kind	lexemeA	targetA	lexemeB	targetB	count
vobj	lx-0062	haver	lx-1260	llei	3
vobj	lx-0062	haver	lx-0085	matí	3
vobj	lx-0062	haver	lx-0340	mes	3
vobj	lx-0062	haver	lx-0542	paper	3
vobj	lx-0062	haver	lx-0336	preu	3
vobj	lx-0062	haver	lx-1019	problema	3
vobj	lx-0062	haver	lx-0535	projecte	3
vobj	lx-0062	haver	lx-4222	registre	3
vobj	lx-0062	haver	lx-0073	temps	3
vobj	lx-0062	haver	lx-1700	venda	3
vobj	lx-1540	importar	lx-1330	empresa	3
vobj	lx-0510	interessar	lx-0096	llibre	3
vobj	lx-0186	llevar	lx-0338	hora	3
vobj	lx-0101	menjar	lx-0068	dia	3
vobj	lx-0210	necessitar	lx-0073	temps	3
vobj	lx-0120	obrir	lx-0098	porta	3
vobj	lx-0103	parlar	lx-0088	amic	3
vobj	lx-0103	parlar	lx-0069	casa	3
vobj	lx-0107	passar	lx-0338	hora	3
vobj	lx-0107	passar	lx-0339	setmana	3
vobj	lx-4212	patir	lx-4415	atac	3
vobj	lx-0194	ploure	lx-0086	tarda	3
vobj	lx-0055	poder	lx-1019	problema	3
vobj	lx-1064	rebre	lx-4102	premi	3
vobj	lx-0373	rentar	lx-0081	mà	3
vobj	lx-0038	ser	lx-1555	acord	3
vobj	lx-0038	ser	lx-1409	acte	3
vobj	lx-0038	ser	lx-0580	animal	3
vobj	lx-0038	ser	lx-0067	any	3
vobj	lx-0038	ser	lx-0669	argument	3
vobj	lx-0038	ser	lx-2374	baixa	3
vobj	lx-0038	ser	lx-4398	base	3
vobj	lx-0038	ser	lx-0433	camisa	3
vobj	lx-0038	ser	lx-4157	cas	3
vobj	lx-0038	ser	lx-0982	castell	3
vobj	lx-0038	ser	lx-0311	classe	3
vobj	lx-0038	ser	lx-2038	condició	3
vobj	lx-0038	ser	lx-0099	escola	3
vobj	lx-0038	ser	lx-0378	espai	3
vobj	lx-0038	ser	lx-4345	estudi	3
vobj	lx-0038	ser	lx-0310	estudiant	3
vobj	lx-0038	ser	lx-4065	exemple	3
vobj	lx-0038	ser	lx-0316	història	3
vobj	lx-0038	ser	lx-1145	jutge	3
vobj	lx-0038	ser	lx-0340	mes	3
vobj	lx-0038	ser	lx-3804	mestre	3
