surface	subs_rank	wiki_rank	subs_count	wiki_count	worst_rank
incapaç	992	1829	57	93	1829
essent	1830	308	37	284	1830
dama	324	1838	124	93	1838
administració	1845	99	36	538	1845
atracció	1128	1846	52	93	1846
dedicat	1846	253	36	315	1846
expedició	1850	353	36	266	1850
òrgans	1851	834	36	163	1851
companyies	1853	505	36	222	1853
identificat	1305	1857	47	92	1857
confondre	1864	1303	36	120	1864
disposat	322	1872	124	91	1872
independent	1873	91	36	544	1873
prohibit	1018	1875	56	91	1875
rebutjat	1547	1876	41	91	1876
extrem	1879	86	36	562	1879
artificial	1881	1361	36	116	1881
manual	1883	1012	36	143	1883
cercles	1891	1136	36	132	1891
bàndol	821	1902	65	90	1902
joies	755	1904	70	90	1904
romana	1905	182	35	388	1905
ocórrer	1355	1906	46	90	1906
apareixen	1907	125	35	483	1907
suportar	307	1909	128	90	1909
enamorat	216	1910	162	90	1910
trajectòria	1916	399	35	250	1916
atractiu	973	1919	57	90	1919
reconeix	1921	878	35	158	1921
ànim	1622	1922	40	90	1922
conscient	354	1924	117	89	1924
sencera	909	1933	61	89	1933
cristians	1938	360	35	261	1938
explotar	790	1943	67	89	1943
voltants	1948	832	35	163	1948
impedir	1949	741	35	178	1949
c	1963	1258	35	123	1963
fulles	1964	131	35	476	1964
elèctric	1970	866	35	159	1970
humanes	1973	691	34	185	1973
explorar	1779	1977	37	88	1977
electrònic	1977	1422	34	113	1977
executar	1981	1008	34	144	1981
signe	1988	1231	34	124	1988
criatures	437	1993	100	87	1993
riba	1998	970	34	148	1998
nuclears	2000	1898	34	90	2000
ritual	1718	2001	38	87	2001
tècnic	2004	562	34	211	2004
indi	609	2008	80	87	2008
joventut	2014	678	34	187	2014
observació	2019	918	34	154	2019
breu	2021	378	34	254	2021
revelar	2027	879	34	158	2027
rodar	2028	1913	34	90	2028
grec	2030	240	34	327	2030
pal	756	2034	70	86	2034
granja	384	2035	111	86	2035
guarda	337	2036	122	86	2036
revisió	2036	1370	34	115	2036
governant	2045	1171	33	129	2045
altura	2051	311	33	283	2051
succeeix	773	2055	69	85	2055
